trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
395,False,"{'a': 0.01, 'e': 0.01925470177538692}",25,15,19.17110615828076,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
396,False,"{'a': 0.01, 'e': 0.019063114291611637}",20,14,10.09572982278313,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
397,False,"{'a': 0.01, 'e': 0.018873433135151486}",20,10,-23.752228241083667,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
398,False,"{'a': 0.01, 'e': 0.018685639337732773}",25,0,36.070876518483196,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
399,False,"{'a': 0.01, 'e': 0.018499714119819242}",25,15,13.563876274605228,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
400,False,"{'a': 0.01, 'e': 0.01831563888873418}",25,13,19.72219369467574,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
401,False,"{'a': 0.01, 'e': 0.018133395236801075}",25,1,38.66920513984842,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
402,False,"{'a': 0.01, 'e': 0.01795296493950285}",20,16,8.444725391435963,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
403,False,"{'a': 0.01, 'e': 0.01777432995365944}",25,15,21.16804048117264,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
404,False,"{'a': 0.01, 'e': 0.017597472415623393}",20,1,34.99475970032772,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
405,False,"{'a': 0.01, 'e': 0.017422374639493515}",25,11,20.782062431574214,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
406,False,"{'a': 0.01, 'e': 0.017249019115346265}",25,13,18.891657110041514,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
407,False,"{'a': 0.01, 'e': 0.017077388507484793}",20,11,14.472818469122476,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
408,False,"{'a': 0.01, 'e': 0.01690746565270528}",20,15,7.045741655628708,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
409,False,"{'a': 0.01, 'e': 0.016739233558580632}",20,0,25.689448346352492,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
410,False,"{'a': 0.01, 'e': 0.016572675401761255}",20,9,20.38505855198781,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
411,False,"{'a': 0.01, 'e': 0.016407774526292645}",25,13,24.22053383260001,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
412,False,"{'a': 0.01, 'e': 0.01624451444194987}",25,3,29.13521848197384,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
413,False,"{'a': 0.01, 'e': 0.016082878822588433}",20,0,28.96523532380654,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
414,False,"{'a': 0.01, 'e': 0.015922851504511698}",30,11,29.894847483443957,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
415,False,"{'a': 0.01, 'e': 0.015764416484854486}",25,11,24.5351638732125,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
416,False,"{'a': 0.01, 'e': 0.01560755791998283}",20,11,18.950991321607727,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
417,False,"{'a': 0.01, 'e': 0.015452260123909515}",30,0,43.0298035724979,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
418,False,"{'a': 0.01, 'e': 0.015298507566725518}",20,10,19.349347217409232,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
419,False,"{'a': 0.01, 'e': 0.01514628487304698}",25,0,37.48323111368311,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
420,False,"{'a': 0.01, 'e': 0.014995576820477703}",20,1,29.23674001868695,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
421,False,"{'a': 0.01, 'e': 0.014846368338086832}",25,10,24.987654012375895,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
422,False,"{'a': 0.01, 'e': 0.014698644504901784}",20,8,22.50167427393134,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
423,False,"{'a': 0.01, 'e': 0.014552390548416123}",20,4,23.2659276725232,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
424,False,"{'a': 0.01, 'e': 0.01440759184311235}",25,0,26.365281259073818,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
425,False,"{'a': 0.01, 'e': 0.014264233908999256}",20,8,10.206499285991196,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
426,False,"{'a': 0.01, 'e': 0.014122302410163962}",20,0,28.13274799990139,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
427,False,"{'a': 0.01, 'e': 0.013981783153338296}",20,7,27.031966333802657,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
428,False,"{'a': 0.01, 'e': 0.013842662086479501}",25,7,28.699322435326152,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
429,False,"{'a': 0.01, 'e': 0.013704925297364945}",35,22,15.952829499859076,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
430,False,"{'a': 0.01, 'e': 0.013568559012200934}",30,8,37.84046865213301,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
431,False,"{'a': 0.01, 'e': 0.013433549594245302}",30,17,23.728867136338522,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
432,False,"{'a': 0.01, 'e': 0.013299883542443767}",30,0,-5.839064307727271,"{0: 28, 1: 1, 2: 0, 3: 0, 4: 1}",0
433,False,"{'a': 0.01, 'e': 0.013167547490079751}",25,7,-20.005608508099456,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
434,False,"{'a': 0.01, 'e': 0.013036528203437736}",30,2,42.55058194023789,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 0}",1
435,False,"{'a': 0.01, 'e': 0.012906812580479862}",20,3,29.39240802976092,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
